| --: | -------------------------- | -------------------- | ------------------ | ---------------- |
| 901 | Baked Bliss Bakery & Cafes | Bakery & Café        | Gota               | Public Listing   |
| 902 | Four Coffee                | Café                 | CG Road            | Public Profile   |
| 903 | Crush Coffee               | Café                 | CG Road            | +91 83206 12851  |
| 904 | Nook By Grace Coffee Co.   | Coffee Café          | Navrangpura        | Public Profile   |
| 905 | Leafy Lion                 | Café                 | Navrangpura        | Public Profile   |
| 906 | Thali Buddy                | Restaurant           | Navrangpura        | +91 93135 08784  |
| 907 | One Bite Ahmedabad Gujarat | Fast Food Restaurant | Gota               | +91 79 4039 3059 |
| 908 | Smoochys                   | Café / Restaurant    | Khanpur            | +91 95107 33743  |
| 909 | Aamchur                    | Restaurant           | Panjrapole         | Public Listing   |
| 910 | Tent Rooftop Restaurant    | Rooftop Restaurant   | Navrangpura        | Public Profile   |
| 911 | Ame Cafe & Patisserie      | Café                 | Bodakdev           | Public Profile   |
| 912 | The Dark Roast             | Coffee Café          | SG Highway         | +91 79 4892 3777 |
| 913 | Caffix – The Tech Cafe     | Work Café            | Thaltej            | +91 82000 19173  |
| 914 | Wagh Bakri Tea Lounge      | Tea Café             | Ambawadi           | +91 83477 74700  |
| 915 | Mocha Bodakdev             | Café                 | Bodakdev           | +91 97252 00002  |
| 916 | Big Scoop Cafe             | Café                 | CG Road            | +91 97274 57314  |
| 917 | Karma Cafe                 | Café                 | Ashram Road        | +91 79 2754 0635 |
| 918 | Cafe De Italiano           | Café                 | Sindhu Bhavan Road | +91 93280 78019  |
| 919 | Terra Cafe                 | Café                 | Bopal              | Public Listing   |
| 920 | Bubble Pop Cafe            | Café                 | Ahmedabad          | Public Profile   |
|   # | Business                 | Category     | Area               | Phone            |
| --: | ------------------------ | ------------ | ------------------ | ---------------- |
| 921 | Mitti Lifestyle Cafe     | Organic Café | Ambli–Bopal Road   | +91 89809 95630  |
| 922 | Skryf Cafe               | Book Café    | Navrangpura        | Public Profile   |
| 923 | The Toilet Cafe          | Theme Café   | Ashram Road        | +91 79 2755 8052 |
| 924 | Seva Cafe                | Charity Café | Ambawadi           | Public Profile   |
| 925 | Java+                    | Café         | Law Garden         | Public Profile   |
| 926 | Lucky Tea Stall          | Tea Café     | Lal Darwaja        | Public Profile   |
| 927 | Bubble Pop               | Café         | Panjrapole         | Public Profile   |
